Vibe Name,Web Page,主場景,子場景1,子場景2,子場景3,子場景4,子場景5,子場景6,子場景7,太陽,月亮,滑鼠移動效果1,滑鼠移動效果2,滑鼠移動效果3,滑鼠移動效果4,滑鼠點擊效果1,滑鼠點擊效果2,滑鼠點擊效果3,滑鼠點擊效果4
夜櫻,vibe/yozakura.html,花瓣飄落堆積,花見小徑,櫻花紛飛,花吹雪,,,,,,有,滑鼠風：吹動花瓣,花瓣隨風旋轉,,,點擊：綻放五瓣櫻花,花瓣地面堆積淡出,,
夏夜,vibe/summer-night.html,螢火蟲閃爍飛舞,螢光點點,螢火蟲群,螢河,,,,,,有,滑鼠：螢火蟲閃避,滑鼠風：影響飛行方向,,,4種螢火蟲閃爍模式,,,
秋楓,vibe/autumn-leaves.html,楓葉飄落堆積,微風落葉,秋風掃落葉,落葉繽紛,,,,,有,,滑鼠風：吹動落葉,落葉隨風旋轉,,,點擊：灑楓葉,落葉地面堆積淡出,,
冬雪,vibe/winter-snow.html,雪花飄落堆積,小雪,中雪,大雪,,,,,有,,滑鼠風：吹動雪花,,,,點擊：六角雪花旋轉飄落,雪地面堆積淡出,,
夜雨,vibe/night-rain.html,雨滴+隨機閃電,小雨,中雨,大雨,,,,,,有,滑鼠風：雨滴傾斜,,,,,隨機閃電效果,,
星空銀河,vibe/starry-sky.html,Three.js 3D銀河旋轉,經典銀河,極光銀河,玫瑰星雲,烈焰銀河,冰晶星河,紫霧銀河,,,有,滑鼠：銀河視角旋轉,,,,點擊：流星雨,自動流星,,
像素冒險,vibe/pixel-game.html,鳥飛、雲移動、金幣,寧靜草原,冒險旅途,金幣雨,,,,,有,,滑鼠風：吹動雲,,,,點擊金幣：閃爍消失,點擊雲：消散,點擊城堡：小人逃跑,
霓虹都市,vibe/neon-city.html,大樓霓虹光束+火花,安靜巷弄,霓虹大道,賽博龐克,,,,,,有,滑鼠靠近：大樓燈光亮起,霓虹光束脈動,火花飄浮,,,,,
夏日海灘,vibe/summer-beach.html,浪花、椰樹、海鷗,微風徐徐,海風吹拂,浪花朵朵,,,,,有,,滑鼠：椰樹葉擺動,海鷗閃避滑鼠,滑鼠風：吹動雲,浪花動畫,,,,
平溪天燈,vibe/sky-lantern.html,火車通過冒煙+天燈,蒸汽火車 CK124,平溪線區間車,莒光號,自強號 PP,普悠瑪,太魯閣,EMU3000,,有,滑鼠：推動天燈飄走,,,,點擊：放天燈（祝福語）,火車自動通過冒煙,不同火車外觀速度,
雪梨煙火,vibe/sydney-fireworks.html,雪梨大橋+帆船,牡丹花火,柳樹花火,菊花花火,雙環花火,流星花火,隨機花火,,,有,滑鼠靠近：大橋燈光變化,,,,點擊：放煙火,帆船景深遠近移動,5種煙火樣式,
珊瑚海洋,vibe/coral-reef.html,"螃蟹橫行、珊瑚、海葵觸鬚飄動、魚群游動",寧靜珊瑚,珊瑚花園,產卵季節,,,,,,,魚群閃避滑鼠,Nemo靠近滑鼠,,,點擊海葵：Nemo出現,點擊：冒泡泡,,
極光,vibe/aurora.html,"天空中跳舞的光、飄動的絲帶、流動的光幕、波動的光雲、顏色取決於氣體種類與高度，地點在北極，有北極熊、馴鹿
https://images.stockcake.com/public/c/b/7/cb778a3b-307e-4bf9-a005-e5b79d915fe8_large/aurora-over-polar-bears-stockcake.jpg",🟢 綠色：氧氣（最常見）,🔴 紅色：高空氧氣（較罕見）,🔵 / 🟣 藍紫色：氮氣,,,,,,有,極光粒子擾動,北極熊走避,馴鹿吃青草,,北極熊奔跑,馴鹿吃青草,,
101跨年,vibe/taipei101.html,"台北101大樓煙火+無人機排列圖案",TAIWAN,ROC 國旗,我愛台灣,Love & Peace,台灣形狀,,,,有,無人機陣列受風擾動,,,,點擊：放煙火,101自動煙火,,
